County,Clinton,Clinton Votes,Sanders,Sanders Votes
Adams,Clinton,877,Sanders,638
Allen,Clinton,"3,670",Sanders,"2,730"
Ashland,Clinton,"1,451",Sanders,"1,465"
Ashtabula,Clinton,"5,320",Sanders,"4,256"
Athens,Clinton,"3,533",Sanders,"5,663"
Auglaize,Clinton,"1,031",Sanders,952
Belmont,Clinton,"3,982",Sanders,"3,263"
Belmont,Clinton,"1,562",Sanders,"1,067"
Butler,Clinton,"12,874",Sanders,"11,102"
Carroll,Clinton,"1,084",Sanders,976
Champaign,Clinton,"1,226",Sanders,"1,099"
Clark,Clinton,"7,107",Sanders,"4,905"
Clermont,Clinton,"5,642",Sanders,"5,710"
Clinton,Clinton,909,Sanders,942
Columbiana,Clinton,"4,106",Sanders,"3,573"
Coshocton,Clinton,"1,358",Sanders,"1,128"
Crawford,Clinton,"1,344",Sanders,"1,141"
Cuyahoga,Clinton,"125,914",Sanders,"72,297"
Darke,Clinton,"1,246",Sanders,999
Defiance,Clinton,"1,507",Sanders,"1,435"
Delaware,Clinton,"9,552",Sanders,"6,891"
Erie,Clinton,"5,449",Sanders,"4,299"
Fairfield,Clinton,"6,408",Sanders,"5,074"
Fayette,Clinton,760,Sanders,533
Franklin,Clinton,"84,654",Sanders,"67,855"
Fulton,Clinton,"1,480",Sanders,"1,528"
Gallia,Clinton,945,Sanders,966
Geauga,Clinton,"4,171",Sanders,"3,516"
Greene,Clinton,"6,672",Sanders,"6,759"
Guernsey,Clinton,"1,440",Sanders,"1,228"
Hamilton,Clinton,"57,687",Sanders,"38,956"
Hancock,Clinton,"2,062",Sanders,"2,490"
Hardin,Clinton,771,Sanders,669
Harrison,Clinton,818,Sanders,674
Henry,Clinton,977,Sanders,952
Highland,Clinton,"1,119",Sanders,873
Hocking,Clinton,"1,204",Sanders,"1,060"
Holmes,Clinton,561,Sanders,558
Huron,Clinton,"2,036",Sanders,"1,907"
Jackson,Clinton,"1,010",Sanders,694
Jefferson,Clinton,"4,328",Sanders,"3,353"
Knox,Clinton,"1,902",Sanders,"1,987"
Lake,Clinton,"12,506",Sanders,"10,351"
Lawrence,Clinton,"2,654",Sanders,"1,994"
Licking,Clinton,"6,785",Sanders,"5,849"
Logan,Clinton,"1,012",Sanders,998
Lorain,Clinton,"21,144",Sanders,"16,154"
Lucas,Clinton,"32,137",Sanders,"24,111"
Madison,Clinton,"1,225",Sanders,923
Mahoning,Clinton,"21,000",Sanders,"14,066"
Marion,Clinton,"2,585",Sanders,"1,909"
Medina,Clinton,"7,913",Sanders,"6,888"
Meigs,Clinton,800,Sanders,757
Mercer,Clinton,"1,037",Sanders,860
Miami,Clinton,"3,155",Sanders,"2,706"
Monroe,Clinton,"1,191",Sanders,"1,138"
Montgomery,Clinton,"33,352",Sanders,"22,538"
Morgan,Clinton,566,Sanders,430
Morrow,Clinton,"1,164",Sanders,"1,035"
Muskingum,Clinton,"3,066",Sanders,"2,299"
Noble,Clinton,522,Sanders,404
Ottawa,Clinton,"2,566",Sanders,"2,012"
Paulding,Clinton,723,Sanders,540
Perry,Clinton,"1,465",Sanders,"1,070"
Pickaway,Clinton,"2,097",Sanders,"1,631"
Pike,Clinton,"1,336",Sanders,949
Portage,Clinton,"8,665",Sanders,"8,877"
Preble,Clinton,"1,176",Sanders,"1,046"
Putnam,Clinton,811,Sanders,936
Richland,Clinton,"5,225",Sanders,"4,080"
Ross,Clinton,"3,582",Sanders,"2,595"
Sandusky,Clinton,"2,866",Sanders,"2,456"
Scioto,Clinton,"3,499",Sanders,"2,903"
Seneca,Clinton,"2,081",Sanders,"2,064"
Shelby,Clinton,"1,284",Sanders,"1,110"
Stark,Clinton,"21,515",Sanders,"16,235"
Summit,Clinton,"38,874",Sanders,"29,451"
Trumbull,Clinton,"17,903",Sanders,"14,726"
Tuscarawas,Clinton,"4,479",Sanders,"4,019"
Union,Clinton,"1,580",Sanders,"1,501"
Van Wert,Clinton,710,Sanders,621
Vinton,Clinton,515,Sanders,496
Warren,Clinton,"6,970",Sanders,"6,054"
Washington,Clinton,"2,557",Sanders,"2,411"
Wayne,Clinton,"3,448",Sanders,"3,225"
Williams,Clinton,"1,007",Sanders,"1,156"
Wood,Clinton,"6,108",Sanders,"7,165"
Wyandot,Clinton,661,Sanders,647
Total,56.50%,"679,266",42.70%,"513,549"